frequency,s11,s12_mag,s12_phase,s22,r_mag,r_phase,alfa,coherence
298,1850.9972,2424.0077,-0.0914,3178.2673,0.749,-1.002,0.44,1.0
304,2463.3751,3227.6719,-0.0948,4233.2304,0.74,-0.97,0.45,1.0
310,3627.7407,4774.2553,-0.0967,6287.1853,0.74,-0.944,0.45,1.0
316,2143.67,2835.1563,-0.0994,3753.8005,0.737,-0.929,0.46,1.0
322,2835.3791,3789.2467,-0.1017,5068.5598,0.739,-0.92,0.45,1.0
328,3598.0448,4812.5143,-0.1132,6441.2549,0.717,-0.901,0.49,1.0
333,3709.4613,5028.6511,-0.1214,6821.2631,0.716,-0.909,0.49,1.0
339,3446.3918,4665.1897,-0.1285,6319.5657,0.701,-0.88,0.51,1.0
345,4163.1228,5674.2151,-0.1375,7738.3281,0.693,-0.874,0.52,1.0
351,2528.5672,3502.1186,-0.15,4855.5962,0.689,-0.895,0.53,1.0
357,2634.3387,3637.7301,-0.1547,5028.2996,0.677,-0.859,0.54,1.0
363,1975.7555,2758.321,-0.1584,3855.8656,0.682,-0.85,0.53,1.0
369,1821.0725,2565.3429,-0.172,3619.2544,0.673,-0.852,0.55,1.0
375,1430.7455,2006.5156,-0.1854,2819.5203,0.649,-0.832,0.58,1.0
380,1010.0971,1426.9509,-0.1879,2021.4881,0.653,-0.815,0.57,1.0
386,859.0738,1227.9661,-0.209,1760.9098,0.642,-0.834,0.59,1.0
392,646.1951,918.942,-0.2332,1312.5927,0.613,-0.834,0.62,1.0
398,605.605,867.7449,-0.2244,1249.3613,0.625,-0.793,0.61,1.0
404,530.0574,757.5805,-0.2316,1088.3381,0.616,-0.761,0.62,0.99
410,548.5968,789.8356,-0.2558,1143.6542,0.599,-0.786,0.64,0.99
416,508.1282,729.9521,-0.2575,1054.7839,0.596,-0.752,0.65,0.99
421,451.8009,641.867,-0.2798,917.9421,0.565,-0.748,0.68,0.99
427,391.3264,562.6769,-0.279,814.8671,0.574,-0.727,0.67,0.99
433,297.2155,428.93,-0.273,624.4208,0.58,-0.687,0.66,0.99
439,334.8953,479.1714,-0.2866,690.8888,0.56,-0.669,0.69,0.99
445,384.0768,562.9899,-0.3094,831.6622,0.571,-0.702,0.67,0.99
451,290.3124,429.46,-0.3273,642.4677,0.57,-0.7,0.68,0.99
457,271.1627,387.0077,-0.3474,558.957,0.523,-0.686,0.73,0.99
462,297.3687,433.9523,-0.3811,640.7216,0.533,-0.728,0.72,0.99
468,242.3513,357.8875,-0.3712,535.4278,0.542,-0.686,0.71,0.99
474,224.2911,333.7197,-0.4089,504.4469,0.539,-0.721,0.71,0.98
480,222.5781,331.4129,-0.4187,501.3881,0.536,-0.707,0.71,0.98
486,268.4324,394.2048,-0.4315,587.5952,0.52,-0.693,0.73,0.99
492,275.7405,403.2914,-0.4589,598.3831,0.509,-0.709,0.74,0.99
498,312.237,456.5745,-0.4726,675.9507,0.508,-0.694,0.74,0.99
503,297.2369,432.5976,-0.5032,638.4166,0.501,-0.72,0.75,0.99
509,322.809,469.1396,-0.5087,690.1028,0.497,-0.699,0.75,0.99
515,385.6305,559.8564,-0.5188,820.9536,0.494,-0.682,0.76,0.99
521,341.254,493.5077,-0.557,722.7209,0.491,-0.711,0.76,0.99
527,413.0198,591.552,-0.5724,855.992,0.484,-0.71,0.77,0.99
533,371.6098,519.7169,-0.5954,735.7633,0.47,-0.726,0.78,0.99
539,614.4466,846.9337,-0.6192,1176.3721,0.464,-0.739,0.78,0.99
544,423.7175,580.5493,-0.6344,804.1391,0.46,-0.733,0.79,0.99
550,574.1133,769.576,-0.6389,1039.5157,0.446,-0.728,0.8,0.99
556,647.0897,868.625,-0.6629,1174.3448,0.452,-0.73,0.8,0.99
562,568.3285,755.0853,-0.6725,1011.414,0.445,-0.724,0.8,0.99
568,520.4576,685.014,-0.702,909.7546,0.449,-0.736,0.8,0.99
574,528.5285,677.362,-0.7046,875.9781,0.434,-0.74,0.81,0.99
580,595.3851,731.2836,-0.7081,905.2979,0.414,-0.764,0.83,0.99
585,495.1865,603.3915,-0.716,742.5951,0.41,-0.755,0.83,0.99
591,364.2843,441.8508,-0.7317,543.3071,0.413,-0.75,0.83,0.99
597,381.9711,463.7136,-0.758,570.3478,0.423,-0.749,0.82,0.99
603,335.3028,396.6887,-0.754,476.5292,0.408,-0.752,0.83,0.98
609,374.9742,436.6117,-0.7374,515.1953,0.39,-0.734,0.85,0.99
615,294.7719,330.9186,-0.7556,378.1454,0.386,-0.778,0.85,0.98
621,371.1153,412.0049,-0.7493,463.6534,0.376,-0.766,0.86,0.99
626,279.981,304.2882,-0.7535,336.9047,0.37,-0.783,0.86,0.98
632,272.8936,293.6268,-0.7577,322.1896,0.367,-0.778,0.87,0.98
638,319.8759,341.7597,-0.7736,371.2914,0.372,-0.774,0.86,0.98
644,291.8801,303.7308,-0.755,321.7019,0.352,-0.79,0.88,0.98
650,344.249,352.5248,-0.7506,366.2381,0.346,-0.795,0.88,0.99
656,268.3553,272.9344,-0.7818,283.1153,0.362,-0.791,0.87,0.98
662,315.7318,318.2056,-0.7424,325.6046,0.333,-0.782,0.89,0.98
667,287.428,283.075,-0.7457,283.7472,0.33,-0.81,0.89,0.98
673,279.9428,272.4253,-0.758,270.0041,0.335,-0.809,0.89,0.98
679,377.4146,363.1298,-0.774,353.9793,0.342,-0.808,0.88,0.99
685,263.0731,249.5097,-0.7653,241.2423,0.333,-0.818,0.89,0.98
691,346.5545,319.5277,-0.7453,299.0521,0.322,-0.862,0.9,0.99
697,309.9086,289.0123,-0.7483,273.7798,0.318,-0.819,0.9,0.98
703,409.8313,368.3983,-0.7438,335.3226,0.319,-0.877,0.9,0.99
708,380.6208,341.0992,-0.7109,309.1275,0.296,-0.896,0.91,0.99
714,472.8777,411.0382,-0.7228,361.0545,0.309,-0.93,0.9,0.99
720,449.6887,385.3332,-0.7099,333.7224,0.302,-0.955,0.91,0.99
726,439.6924,372.9646,-0.7167,319.9626,0.308,-0.948,0.91,0.99
732,440.3484,376.1588,-0.7261,324.7936,0.306,-0.901,0.91,0.99
738,684.0227,563.1051,-0.6942,466.6346,0.302,-1.012,0.91,0.99
744,566.386,470.9513,-0.6762,394.5942,0.284,-1.011,0.92,0.99
750,638.6817,517.9154,-0.6685,422.9953,0.292,-1.053,0.91,0.99
755,793.44,643.2896,-0.6788,524.4772,0.295,-1.02,0.91,0.99
761,666.0321,540.1226,-0.6506,440.8378,0.278,-1.065,0.92,0.99
767,980.5535,794.3935,-0.6481,646.3393,0.274,-1.059,0.92,1.0
773,928.2537,743.8161,-0.6382,598.5942,0.274,-1.088,0.92,1.0
779,975.5852,784.6772,-0.6247,633.6163,0.264,-1.106,0.93,1.0
785,997.2842,801.2967,-0.6075,646.1625,0.256,-1.145,0.93,1.0
791,942.3629,759.8205,-0.6025,614.8203,0.249,-1.147,0.94,1.0
796,1158.4071,923.2463,-0.5889,737.9515,0.252,-1.195,0.94,1.0
802,725.2915,585.8714,-0.5801,475.2766,0.236,-1.205,0.94,1.0
808,1034.0043,837.8752,-0.575,680.8702,0.23,-1.209,0.95,1.0
814,601.3645,486.7524,-0.568,395.8927,0.228,-1.228,0.95,1.0
820,798.3268,638.5661,-0.5625,512.5441,0.235,-1.252,0.94,1.0
826,721.6557,580.3388,-0.5526,468.4496,0.227,-1.281,0.95,1.0
832,549.8756,445.3903,-0.5515,362.5229,0.219,-1.276,0.95,1.0
837,404.664,330.4338,-0.5604,271.4217,0.211,-1.227,0.96,0.99
843,453.4598,367.819,-0.5312,299.9221,0.214,-1.355,0.95,0.99
849,414.5905,340.676,-0.5233,281.4244,0.2,-1.391,0.96,0.99
855,415.4502,341.6431,-0.5242,282.4388,0.198,-1.379,0.96,0.99
861,346.1989,283.823,-0.5097,234.075,0.201,-1.446,0.96,0.99
867,355.9759,295.2994,-0.5173,246.3551,0.187,-1.414,0.96,0.99
873,285.1625,236.1652,-0.5002,196.8994,0.192,-1.5,0.96,0.99
878,237.1244,194.5714,-0.4868,160.9501,0.204,-1.549,0.96,0.99
884,261.5824,217.2169,-0.5069,181.6878,0.187,-1.464,0.96,0.99
890,205.0061,169.7284,-0.4944,141.8205,0.192,-1.522,0.96,0.99
896,165.1839,137.1207,-0.4885,115.0891,0.192,-1.551,0.96,0.99
902,168.5593,141.6918,-0.503,120.2383,0.175,-1.495,0.97,0.99
908,209.8366,173.8323,-0.4708,145.1704,0.202,-1.627,0.96,0.99
914,178.6729,149.7653,-0.4565,126.6219,0.199,-1.731,0.96,0.99
919,185.9122,157.0612,-0.4536,133.7567,0.195,-1.758,0.96,0.99
925,142.4304,120.0004,-0.4557,102.1682,0.197,-1.736,0.96,0.99
931,195.6801,166.1403,-0.4648,142.0874,0.185,-1.713,0.97,0.99
937,162.072,138.5407,-0.4623,119.4214,0.182,-1.743,0.97,0.99
943,181.7881,156.31,-0.4514,135.3531,0.185,-1.815,0.97,0.99
949,166.8481,143.4946,-0.4314,124.2707,0.204,-1.898,0.96,0.99
955,190.0913,163.9483,-0.4517,142.3512,0.185,-1.816,0.97,0.99
960,169.9977,146.1284,-0.4489,126.4904,0.192,-1.809,0.96,0.99
966,146.3902,127.445,-0.4389,111.8071,0.192,-1.896,0.96,0.99
972,182.8709,158.8084,-0.4392,138.7505,0.195,-1.877,0.96,0.99
978,212.2204,184.6757,-0.4544,161.5183,0.183,-1.822,0.97,0.99
984,265.0745,233.34,-0.4443,206.2362,0.185,-1.905,0.97,1.0
990,275.5677,243.7905,-0.4347,216.4606,0.192,-1.957,0.96,1.0
996,221.4764,196.4336,-0.436,174.9705,0.191,-1.958,0.96,1.0
1001,210.974,184.9353,-0.4373,162.8087,0.2,-1.887,0.96,1.0
1007,300.3051,268.5448,-0.4394,240.8843,0.187,-1.971,0.97,1.0
1013,204.1476,184.5994,-0.4467,167.6288,0.175,-1.998,0.97,1.0
1019,297.3242,269.5349,-0.432,245.0323,0.192,-2.042,0.96,1.0
1025,322.0599,294.095,-0.4357,269.2496,0.187,-2.063,0.97,1.0
1031,373.2187,342.0001,-0.4439,314.1121,0.179,-2.048,0.97,1.0
1037,300.9363,277.9934,-0.4396,257.4803,0.182,-2.095,0.97,1.0
1042,299.958,279.5686,-0.4477,261.2225,0.172,-2.118,0.97,1.0
