f,S11,S12 mag,S12 Fase,S22,R mag,Alfa,H12 mag,H12 fase,Coherencia
0,150.72,143.61,0.0,159.17,1.0,0.0,0.95,0.0,0.86
5,158.87,153.86,-0.07,172.55,0.85,0.28,0.97,-0.07,0.86
10,197.6,203.72,-0.15,241.75,0.83,0.31,1.03,-0.15,0.87
16,325.56,381.29,-0.21,486.52,0.88,0.23,1.17,-0.21,0.92
21,663.48,819.4,-0.25,1051.56,0.88,0.23,1.24,-0.25,0.96
26,1800.65,2112.72,-0.25,2508.01,0.82,0.33,1.17,-0.25,0.99
32,3418.13,4078.57,-0.28,4896.61,0.8,0.35,1.19,-0.28,0.99
37,3724.76,4308.33,-0.24,5012.33,0.74,0.46,1.16,-0.24,0.99
43,4859.43,5540.84,-0.23,6342.14,0.69,0.53,1.14,-0.23,1.0
48,6117.39,6887.57,-0.22,7778.16,0.64,0.6,1.13,-0.22,1.0
53,5859.71,6632.27,-0.21,7531.69,0.61,0.63,1.13,-0.21,1.0
59,9119.08,10336.2,-0.2,11741.53,0.57,0.67,1.13,-0.2,1.0
64,8396.2,9540.8,-0.2,10866.44,0.55,0.7,1.14,-0.2,1.0
69,9341.42,10688.94,-0.21,12256.12,0.54,0.71,1.14,-0.21,1.0
75,11257.54,13001.56,-0.2,15046.07,0.53,0.72,1.15,-0.2,1.0
80,12766.42,15028.43,-0.2,17726.6,0.54,0.71,1.18,-0.2,1.0
86,10848.04,13026.08,-0.19,15682.54,0.56,0.69,1.2,-0.19,1.0
91,7938.19,9739.99,-0.2,11999.16,0.58,0.67,1.23,-0.2,1.0
96,6470.52,8196.15,-0.22,10443.17,0.6,0.63,1.27,-0.22,0.99
102,6221.83,8174.81,-0.24,10821.35,0.63,0.6,1.31,-0.24,0.99
107,2805.38,3896.32,-0.27,5528.4,0.67,0.55,1.39,-0.27,0.98
113,3240.35,4740.17,-0.35,7099.64,0.69,0.52,1.46,-0.35,0.98
118,1457.83,2123.0,-0.43,3309.22,0.67,0.55,1.46,-0.43,0.93
123,1092.41,1605.73,-0.58,2680.73,0.69,0.53,1.47,-0.58,0.88
129,1384.14,1713.44,-0.85,2457.72,0.7,0.51,1.24,-0.85,0.86
134,1264.67,1186.73,-0.89,1355.59,0.69,0.53,0.94,-0.89,0.82
139,2296.31,1765.33,-0.91,1534.73,0.7,0.51,0.77,-0.91,0.88
145,3924.75,2689.99,-0.81,1971.77,0.69,0.52,0.69,-0.81,0.94
150,5347.94,3515.23,-0.67,2401.98,0.67,0.56,0.66,-0.67,0.96
156,5989.12,3843.78,-0.59,2537.62,0.65,0.57,0.64,-0.59,0.97
161,9001.26,5784.27,-0.49,3771.81,0.64,0.59,0.64,-0.49,0.99
166,10486.32,6843.77,-0.41,4508.0,0.62,0.61,0.65,-0.41,0.99
172,17921.56,12116.0,-0.37,8224.89,0.59,0.65,0.68,-0.37,1.0
177,21454.22,14640.19,-0.35,10020.18,0.58,0.67,0.68,-0.35,1.0
183,12778.67,8847.98,-0.31,6152.43,0.57,0.68,0.69,-0.31,1.0
188,24599.76,17598.52,-0.3,12612.3,0.53,0.72,0.72,-0.3,1.0
193,23522.33,17000.38,-0.27,12308.43,0.53,0.72,0.72,-0.27,1.0
199,21752.15,15897.88,-0.26,11639.86,0.52,0.73,0.73,-0.26,1.0
204,20112.75,15043.88,-0.24,11271.97,0.5,0.75,0.75,-0.24,1.0
209,22972.2,17423.47,-0.22,13233.41,0.5,0.75,0.76,-0.22,1.0
215,23634.07,18243.78,-0.21,14100.08,0.49,0.76,0.77,-0.21,1.0
220,22724.64,17784.9,-0.2,13935.17,0.48,0.77,0.78,-0.2,1.0
226,21315.65,17059.02,-0.19,13669.34,0.47,0.78,0.8,-0.19,1.0
